Window size: 100
Server error Rate: 1000
expRTT,jitter,timeoutValue
22021870,2.198940463152796E7,756642.4749281183,25015974
23020029,2.2118232677586965E7,792930.9367993474,25289956
19775696,2.1825415592888594E7,1107128.100821659,26253927
19775696,2.1825415592888594E7,1107128.100821659,52507854
19775696,2.1825415592888594E7,1107128.100821659,105015708
19775696,2.1825415592888594E7,1107128.100821659,210031416
19775696,2.1825415592888594E7,1107128.100821659,420062832
19775696,2.1825415592888594E7,1107128.100821659,500000000
19775696,2.1825415592888594E7,1107128.100821659,500000000
19775696,2.1825415592888594E7,1107128.100821659,500000000
19775696,2.1825415592888594E7,1107128.100821659,500000000
19775696,2.1825415592888594E7,1107128.100821659,500000000
19775696,2.1825415592888594E7,1107128.100821659,500000000
19775696,2.1825415592888594E7,1107128.100821659,500000000
19775696,2.1825415592888594E7,1107128.100821659,500000000
19775696,2.1825415592888594E7,1107128.100821659,500000000
19775696,2.1825415592888594E7,1107128.100821659,500000000
19775696,2.1825415592888594E7,1107128.100821659,500000000
19775696,2.1825415592888594E7,1107128.100821659,500000000
19775696,2.1825415592888594E7,1107128.100821659,500000000
19775696,2.1825415592888594E7,1107128.100821659,500000000
19775696,2.1825415592888594E7,1107128.100821659,500000000
19775696,2.1825415592888594E7,1107128.100821659,500000000
19775696,2.1825415592888594E7,1107128.100821659,500000000
22539790,2.191471239377752E7,986615.4771718644,25861174
-50124828,1.290976984455533E7,1.649861106901773E7,78904214
-50124828,1.290976984455533E7,1.649861106901773E7,157808428
-50124828,1.290976984455533E7,1.649861106901773E7,315616856
22684260,1.4131581113985913E7,1.451212802326682E7,72180093
22684260,1.4131581113985913E7,1.451212802326682E7,144360186
22684260,1.4131581113985913E7,1.451212802326682E7,288720372
22684260,1.4131581113985913E7,1.451212802326682E7,500000000
22684260,1.4131581113985913E7,1.451212802326682E7,500000000
22684260,1.4131581113985913E7,1.451212802326682E7,500000000
22684260,1.4131581113985913E7,1.451212802326682E7,500000000
22684260,1.4131581113985913E7,1.451212802326682E7,500000000
22684260,1.4131581113985913E7,1.451212802326682E7,500000000
22684260,1.4131581113985913E7,1.451212802326682E7,500000000
22684260,1.4131581113985913E7,1.451212802326682E7,500000000
22684260,1.4131581113985913E7,1.451212802326682E7,500000000
22684260,1.4131581113985913E7,1.451212802326682E7,500000000
22684260,1.4131581113985913E7,1.451212802326682E7,500000000
-49834055,6135876.599737674,2.4876578917384535E7,105642192
-31570738,1422549.7747704647,2.690575613173102E7,109045574
-35473975,-3189515.8220758433,2.8250431893279303E7,109812211
-34488567,-7101897.219316363,2.8034491365130387E7,105036068
-24438649,-9268991.191901818,2.4818282975872334E7,90004140
-28299589,-1.164781591791409E7,2.2776655502425727E7,79458806
-30699451,-1.402927030317483E7,2.1250036801025588E7,70970876
-33909001,-1.6514236640277976E7,2.0286218690699697E7,64630638
-31338755,-1.8367301435243227E7,1.8457527409213968E7,55462808
-13303436,-1.7734318255837824E7,1.495086612086993E7,42069146
-31006541,-1.9393346098858096E7,1.4116448315937923E7,37072447
-31006541,-1.9393346098858096E7,1.4116448315937923E7,74144894
-31006541,-1.9393346098858096E7,1.4116448315937923E7,148289788
-31006541,-1.9393346098858096E7,1.4116448315937923E7,296579576
-31006541,-1.9393346098858096E7,1.4116448315937923E7,500000000
-31006541,-1.9393346098858096E7,1.4116448315937923E7,500000000
-31006541,-1.9393346098858096E7,1.4116448315937923E7,500000000
-31006541,-1.9393346098858096E7,1.4116448315937923E7,500000000
-31006541,-1.9393346098858096E7,1.4116448315937923E7,500000000
-31006541,-1.9393346098858096E7,1.4116448315937923E7,500000000
